id,smarts,rc_plus_0_id
22,[*:1](~[*:2]~[*:3]~[*:4](~[O&D1&v2&H1&+0&!R:5])~[*:6]~[*:7]~[O&D1&v2&H1&+0&!R:8])~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[*:15]~[*:16]~[*:17]~[S&D1&v2&H1&+0&!R:18].[N&D2&v3&H1&+0&!R:19]-[C&D3&v4&H0&+0&!R&z2:20]=[O&D1&v2&H0&+0&!R:21]>>[C&D3&v4&H0&+0&!R&z2:20](=[O&D1&v2&H0&+0&!R:21])-[S&D2&v2&H0&+0&!R:18]~[*:17]~[*:16]~[*:15]~[*:14]~[*:13]~[*:12]~[*:11]~[*:10]~[*:9]~[*:1]~[*:2]~[*:3]~[*:4](~[O&D1&v2&H1&+0&!R:5])~[*:6]~[*:7]~[O&D1&v2&H1&+0&!R:8].[N&D1&v3&H2&+0&!R:19],124
23,[*:1](~[*:2]~[*:3]:[*:4]:[n&D2&v3&H1&+0&R:5])~[*:6]~[*:7]~[*:8]~[N&D2&v3&H1&+0&!R:9]-[C&D3&v4&H0&+0&!R&z2:10](-[C&D1&v4&H3&+0&!R&z0:11])=[O&D1&v2&H0&+0&!R:12].[*:13](~[*:14]~[*:15]~[*:16](~[O&D1&v2&H1&+0&!R:17])~[*:18]~[*:19]~[O&D1&v2&H1&+0&!R:20])~[*:21]~[*:22]~[*:23]~[*:24]~[*:25]~[*:26]~[*:27]~[*:28]~[*:29]~[S&D1&v2&H1&+0&!R:30]>>[*:1](~[*:2]~[*:3]:[*:4]:[n&D2&v3&H1&+0&R:5])~[*:6]~[*:7]~[*:8]~[N&D1&v3&H2&+0&!R:9].[C&D1&v4&H3&+0&!R&z0:11]-[C&D3&v4&H0&+0&!R&z2:10](=[O&D1&v2&H0&+0&!R:12])-[S&D2&v2&H0&+0&!R:30]~[*:29]~[*:28]~[*:27]~[*:26]~[*:25]~[*:24]~[*:23]~[*:22]~[*:21]~[*:13]~[*:14]~[*:15]~[*:16](~[O&D1&v2&H1&+0&!R:17])~[*:18]~[*:19]~[O&D1&v2&H1&+0&!R:20],124
24,[*:1](~[*:2]~[*:3]:[*:4]:[n&D2&v3&H1&+0&R:5])~[*:6]~[*:7]~[*:8]~[N&D1&v3&H2&+0&!R:9].[C&D1&v4&H3&+0&!R&z0:10]-[C&D3&v4&H0&+0&!R&z2:11](=[O&D1&v2&H0&+0&!R:12])-[S&D2&v2&H0&+0&!R:13]~[*:14]~[*:15]~[*:16]~[*:17]~[*:18]~[*:19]~[*:20]~[*:21]~[*:22]~[*:23]~[*:24]~[*:25]~[*:26](~[O&D1&v2&H1&+0&!R:27])~[*:28]~[*:29]~[O&D1&v2&H1&+0&!R:30]>>[*:1](~[*:2]~[*:3]:[*:4]:[n&D2&v3&H1&+0&R:5])~[*:6]~[*:7]~[*:8]~[N&D2&v3&H1&+0&!R:9]-[C&D3&v4&H0&+0&!R&z2:11](-[C&D1&v4&H3&+0&!R&z0:10])=[O&D1&v2&H0&+0&!R:12].[*:23](~[*:24]~[*:25]~[*:26](~[O&D1&v2&H1&+0&!R:27])~[*:28]~[*:29]~[O&D1&v2&H1&+0&!R:30])~[*:22]~[*:21]~[*:20]~[*:19]~[*:18]~[*:17]~[*:16]~[*:15]~[*:14]~[S&D1&v2&H1&+0&!R:13],347
25,[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[*:5]:[*:6]~[O&D1&v2&H1&+0&!R:7]):[c&D2&v4&H1&+0&R&z0:8])~[*:9]~[*:10]~[*:11]~[N&D2&v3&H1&+0&!R:12]-[C&D3&v4&H0&+0&!R&z2:13](-[C&D1&v4&H3&+0&!R&z0:14])=[O&D1&v2&H0&+0&!R:15].[*:16](~[*:17]~[*:18]~[*:19](~[O&D1&v2&H1&+0&!R:20])~[*:21]~[*:22]~[O&D1&v2&H1&+0&!R:23])~[*:24]~[*:25]~[*:26]~[*:27]~[*:28]~[*:29]~[*:30]~[*:31]~[*:32]~[S&D1&v2&H1&+0&!R:33]>>[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[*:5]:[*:6]~[O&D1&v2&H1&+0&!R:7]):[c&D2&v4&H1&+0&R&z0:8])~[*:9]~[*:10]~[*:11]~[N&D1&v3&H2&+0&!R:12].[C&D1&v4&H3&+0&!R&z0:14]-[C&D3&v4&H0&+0&!R&z2:13](=[O&D1&v2&H0&+0&!R:15])-[S&D2&v2&H0&+0&!R:33]~[*:32]~[*:31]~[*:30]~[*:29]~[*:28]~[*:27]~[*:26]~[*:25]~[*:24]~[*:16]~[*:17]~[*:18]~[*:19](~[O&D1&v2&H1&+0&!R:20])~[*:21]~[*:22]~[O&D1&v2&H1&+0&!R:23],124
26,[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[*:5]:[*:6]~[O&D1&v2&H1&+0&!R:7]):[c&D2&v4&H1&+0&R&z0:8])~[*:9]~[*:10]~[*:11]~[N&D1&v3&H2&+0&!R:12].[C&D1&v4&H3&+0&!R&z0:13]-[C&D3&v4&H0&+0&!R&z2:14](=[O&D1&v2&H0&+0&!R:15])-[S&D2&v2&H0&+0&!R:16]~[*:17]~[*:18]~[*:19]~[*:20]~[*:21]~[*:22]~[*:23]~[*:24]~[*:25]~[*:26]~[*:27]~[*:28]~[*:29](~[O&D1&v2&H1&+0&!R:30])~[*:31]~[*:32]~[O&D1&v2&H1&+0&!R:33]>>[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[*:5]:[*:6]~[O&D1&v2&H1&+0&!R:7]):[c&D2&v4&H1&+0&R&z0:8])~[*:9]~[*:10]~[*:11]~[N&D2&v3&H1&+0&!R:12]-[C&D3&v4&H0&+0&!R&z2:14](-[C&D1&v4&H3&+0&!R&z0:13])=[O&D1&v2&H0&+0&!R:15].[*:26](~[*:27]~[*:28]~[*:29](~[O&D1&v2&H1&+0&!R:30])~[*:31]~[*:32]~[O&D1&v2&H1&+0&!R:33])~[*:25]~[*:24]~[*:23]~[*:22]~[*:21]~[*:20]~[*:19]~[*:18]~[*:17]~[S&D1&v2&H1&+0&!R:16],347
27,[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[c&D2&v4&H1&+0&R&z0:5]):[c&D2&v4&H1&+0&R&z0:6]:[c&D2&v4&H1&+0&R&z0:7])~[*:8]~[*:9]~[*:10]~[N&D2&v3&H1&+0&!R:11]-[C&D3&v4&H0&+0&!R&z2:12](-[C&D1&v4&H3&+0&!R&z0:13])=[O&D1&v2&H0&+0&!R:14].[*:15](~[*:16]~[*:17]~[*:18](~[O&D1&v2&H1&+0&!R:19])~[*:20]~[*:21]~[O&D1&v2&H1&+0&!R:22])~[*:23]~[*:24]~[*:25]~[*:26]~[*:27]~[*:28]~[*:29]~[*:30]~[*:31]~[S&D1&v2&H1&+0&!R:32]>>[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[c&D2&v4&H1&+0&R&z0:5]):[c&D2&v4&H1&+0&R&z0:6]:[c&D2&v4&H1&+0&R&z0:7])~[*:8]~[*:9]~[*:10]~[N&D1&v3&H2&+0&!R:11].[C&D1&v4&H3&+0&!R&z0:13]-[C&D3&v4&H0&+0&!R&z2:12](=[O&D1&v2&H0&+0&!R:14])-[S&D2&v2&H0&+0&!R:32]~[*:31]~[*:30]~[*:29]~[*:28]~[*:27]~[*:26]~[*:25]~[*:24]~[*:23]~[*:15]~[*:16]~[*:17]~[*:18](~[O&D1&v2&H1&+0&!R:19])~[*:20]~[*:21]~[O&D1&v2&H1&+0&!R:22],124
28,[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[c&D2&v4&H1&+0&R&z0:5]):[c&D2&v4&H1&+0&R&z0:6]:[c&D2&v4&H1&+0&R&z0:7])~[*:8]~[*:9]~[*:10]~[N&D1&v3&H2&+0&!R:11].[C&D1&v4&H3&+0&!R&z0:12]-[C&D3&v4&H0&+0&!R&z2:13](=[O&D1&v2&H0&+0&!R:14])-[S&D2&v2&H0&+0&!R:15]~[*:16]~[*:17]~[*:18]~[*:19]~[*:20]~[*:21]~[*:22]~[*:23]~[*:24]~[*:25]~[*:26]~[*:27]~[*:28](~[O&D1&v2&H1&+0&!R:29])~[*:30]~[*:31]~[O&D1&v2&H1&+0&!R:32]>>[*:1](~[*:2]~[*:3](:[c&D2&v4&H1&+0&R&z0:4]:[c&D2&v4&H1&+0&R&z0:5]):[c&D2&v4&H1&+0&R&z0:6]:[c&D2&v4&H1&+0&R&z0:7])~[*:8]~[*:9]~[*:10]~[N&D2&v3&H1&+0&!R:11]-[C&D3&v4&H0&+0&!R&z2:13](-[C&D1&v4&H3&+0&!R&z0:12])=[O&D1&v2&H0&+0&!R:14].[*:25](~[*:26]~[*:27]~[*:28](~[O&D1&v2&H1&+0&!R:29])~[*:30]~[*:31]~[O&D1&v2&H1&+0&!R:32])~[*:24]~[*:23]~[*:22]~[*:21]~[*:20]~[*:19]~[*:18]~[*:17]~[*:16]~[S&D1&v2&H1&+0&!R:15],347
29,[*:1](~[O&D1&v2&H1&+0&!R:2])~[*:3]~[O&D2&v2&H0&+0&!R:4]-[C&D3&v4&H0&+0&!R&z2:5]=[O&D1&v2&H0&+0&!R:6].[C&D3&v4&H1&+0&!R&z1:7]-[N&D1&v3&H2&+0&!R:8]>>[*:1](~[O&D1&v2&H1&+0&!R:2])~[*:3]~[O&D1&v2&H1&+0&!R:4].[C&D3&v4&H1&+0&!R&z1:7]-[N&D2&v3&H1&+0&!R:8]-[C&D3&v4&H0&+0&!R&z2:5]=[O&D1&v2&H0&+0&!R:6],175
30,[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[O&D1&v2&H1&+0&!R:3].[N&D0&v3&H3&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z2:1](-[N&D1&v3&H2&+0&!R:4])=[O&D1&v2&H0&+0&!R:2].[O&D0&v2&H2&+0&!R:3],175
31,[C&D3&v4&H0&+0&!R&z2:1](-[N&D1&v3&H2&+0&!R:2])=[O&D1&v2&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:3])-[O&D1&v2&H1&+0&!R:4].[N&D0&v3&H3&+0&!R:2],587
