scl_lb,mech_id,max_coverage,mean_extra_atoms,std_extra_atoms
20,0,1.0,1.5,0.5
20,1,0.6666666666666666,0.0,0.0
20,2,0.5,0.0,0.0
20,3,0.0,0.0,0.0
20,4,0.4,0.0,0.0
20,5,0.5,0.0,0.0
20,6,0.2,0.0,0.0
20,7,0.2,0.0,0.0
20,8,0.2,0.0,0.0
20,9,0.2,0.0,0.0
20,10,0.5,0.0,0.0
20,11,0.3333333333333333,0.0,0.0
20,12,0.5,0.0,0.0
20,13,0.5,0.0,0.0
20,14,0.5,0.0,0.0
20,15,0.25,0.0,0.0
20,16,1.0,1.5,0.5
20,17,0.25,0.0,0.0
20,18,0.5,0.0,0.0
20,19,0.5,0.0,0.0
20,20,1.0,1.5,0.5
20,21,0.6,0.0,0.0
20,22,0.2857142857142857,0.0,0.0
20,23,0.16666666666666666,0.0,0.0
