id,smiles
"3,22-dioxochol-4-en-24-oyl-CoA",CC(C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
(+)-5-epi-aristolochene,C=C(C)C1CC=C2CCCC(C)C2(C)C1
N-carbamoyl-2-oxoglycine,NC(=O)NC(=O)C(=O)O
urea,NC(N)=O
3-oxopropane-1-sulfonate,O=CCCS(=O)(=O)O
"(2E,6E)-farnesyl phosphate",CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)O
(R)-lactate,CC(O)C(=O)O
N-acetyl-L-valine,CC(=O)NC(C(=O)O)C(C)C
"3',3',3'-c-tri-AMP",Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC3C(COP(=O)(O)OC4C(COP(=O)(O)OC2C1O)OC(n1cnc2c(N)ncnc21)C4O)OC(n1cnc2c(N)ncnc21)C3O
NK13650 B,N=C(N)NCCCC1NC(=O)C(=Cc2ccc(O)c(OCCC(NC(=O)CC(O)(CC(=O)O)C(=O)O)C(=O)O)c2)NC1=O
5-hydroxy-L-arginine,N=C(N)NC(O)CCC(N)C(=O)O
N-(9Z-hexadecenoyl)-3-oxosphinganine,CCCCCCC=CCCCCCCCC(=O)NC(CO)C(=O)CCCCCCCCCCCCCCC
tryptamine,NCCc1c[nH]c2ccccc12
22-methyltricosanoyl-CoA,CC(C)CCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
1-(9Z-octadecenoyl)-sn-glycero-3-phosphate,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)O
"1,2-epoxy-9-decene",C=CCCCCCCC1CO1
N-hydroxyputrescine,NCCCCNO
kermesate,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)cc(O)c(O)c1C2=O
scyllo-inositol,OC1C(O)C(O)C(O)C(O)C1O
L-methionine,CSCCC(N)C(=O)O
L-dopa,NC(Cc1ccc(O)c(O)c1)C(=O)O
5-methylorsellinate,Cc1c(O)cc(O)c(C(=O)O)c1C
ethanolamine,NCCO
"1,2,3-tri-(9Z,12Z)-octadecadienoylglycerol",CCCCCC=CCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCC
3-hydroxy-3-methylglutarate,CC(O)(CC(=O)O)CC(=O)O
6-(3-dimethylallyl)harmol,CC(C)=CCc1cc2c(cc1O)[nH]c1c(C)nccc12
cholesteryl (9Z)-hexadecenoate,CCCCCCC=CCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
macrophomene,CC1=CCCC(C)=CCCC(C)=CC2C(CCC(C)=CCCC(C)=CCC1)C2(C)C
"3,4-dimethoxy-(E)-cinnamate",COc1ccc(C=CC(=O)O)cc1OC
N(1)-acetyl-N(1)-hydroxyputrescine,CC(=O)N(O)CCCCN
2-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(N)C(=O)O
glycocholate,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
L-arginocholate,CC(CCC(=O)NC(CCCNC(=N)N)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
"17,18-epoxy-17-hydroxycur-19-ene",OC1OCC=C2CN3CCC45c6ccccc6NC4C1C2CC35
L-cysteate,NC(CS(=O)(=O)O)C(=O)O
"(6S)-3,3-dimethylpiperidine-2,6-dicarboxylate",CC1(C)CCC(C(=O)O)NC1C(=O)O
phloretate,O=C(O)CCc1ccc(O)cc1
ergothioneine,C[N+](C)(C)C(Cc1c[nH]c(S)n1)C(=O)O
"7,8-dihydroneopterin 3'-phosphate",Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)O)CN2
D-erythrose 4-phosphate,O=CC(O)C(O)COP(=O)(O)O
squalene,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C
"4-farnesyl-3,5-dihydroxy-6-methylphthalide",CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)c(C)c2c(c1O)C(=O)OC2
"(2E,6E,10E)-geranylgeranyl-triacetate lactone",CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1c(O)cc(C)oc1=O
1-octadecanoyl-sn-glycero-3-phosphocholine,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC[N+](C)(C)C
1-octadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN
CDP-6-D-glucitol,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OCC(O)C(O)C(O)C(O)CO)C(O)C2O)c(=O)n1
D-galactose,OCC1OC(O)C(O)C(O)C1O
"(5S)-hydroperoxy-(6E,8Z,11Z,14Z)-eicosatetraenoate",CCCCCC=CCC=CCC=CC=CC(CCCC(=O)O)OO
3-methyl-(2E)-glutaconyl-CoA,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)CC(=O)O
octadecanoate,CCCCCCCCCCCCCCCCCC(=O)O
diaboline,CC(=O)N1c2ccccc2C23CCN4CC5=CCOC(O)C(C5CC42)C13
succinate semialdehyde,O=CCCC(=O)O
acrylate,C=CC(=O)O
peonidin 3-O-beta-D-glucoside,COc1cc(-c2oc3cc(O)cc(=O)c-3cc2OC2OC(CO)C(O)C(O)C2O)ccc1O
kaempferol 7-O-(6-O-malonyl-beta-D-glucoside),O=C(O)CC(=O)OCC1OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2)C(O)C(O)C1O
(8S)-annullatin J,CCCCC(O)c1ccc(CC=C(C)C)c(O)c1CO
daunorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1
"3',5'-cyclic CMP",Nc1ccn(C2OC3COP(=O)(O)OC3C2O)c(=O)n1
3'-dehydrocarminate,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(=O)C3O)c(O)c(O)c1C2=O
(R)-styrene glycol,OCC(O)c1ccccc1
(2R)-3-sulfolactate,O=C(O)C(O)CS(=O)(=O)O
