scl_lb,mech_id,inf_id,coverage,atom_ratio
1,25,3,0.2857142857142857,1.2857142857142858
1,26,3,0.16666666666666666,1.5
1,27,3,0.3333333333333333,3.0
1,28,3,0.4,1.8
1,0,4,0.5,13.5
1,1,4,0.6666666666666666,18.0
1,2,4,0.5,13.5
1,3,4,0.3333333333333333,9.0
1,4,4,0.8,10.8
1,5,4,0.5,13.5
1,6,4,0.6,10.8
1,7,4,0.6,10.8
1,8,4,0.6,10.8
1,9,4,0.6,10.8
1,10,4,0.5,13.5
1,11,4,0.3333333333333333,18.0
1,12,4,0.5,13.5
1,13,4,0.5,13.5
1,14,4,0.5,13.5
1,15,4,0.25,13.5
1,16,4,0.5,13.5
1,17,4,0.5,9.0
1,18,4,0.5,9.0
1,19,4,0.5,27.0
1,20,4,0.5,13.5
1,21,4,0.4,10.8
1,22,4,0.2857142857142857,7.714285714285714
1,23,4,0.5,9.0
1,24,4,0.2,10.8
1,25,4,0.42857142857142855,7.714285714285714
1,26,4,0.5,9.0
1,27,4,0.3333333333333333,18.0
1,28,4,0.4,10.8
1,0,5,0.5,3.5
1,1,5,0.6666666666666666,4.666666666666667
1,2,5,0.75,3.5
1,3,5,0.6666666666666666,2.3333333333333335
1,4,5,0.4,2.8
1,5,5,0.25,3.5
1,6,5,0.2,2.8
1,7,5,0.2,2.8
1,8,5,0.2,2.8
1,9,5,0.2,2.8
1,10,5,0.5,3.5
1,11,5,0.3333333333333333,4.666666666666667
1,12,5,0.5,3.5
1,13,5,0.5,3.5
1,14,5,0.5,3.5
1,15,5,0.25,3.5
1,16,5,0.5,3.5
1,17,5,0.6666666666666666,2.3333333333333335
1,18,5,0.6666666666666666,2.3333333333333335
1,19,5,0.5,7.0
1,20,5,0.5,3.5
1,21,5,0.4,2.8
1,22,5,0.14285714285714285,2.0
1,23,5,0.5,2.3333333333333335
1,24,5,0.2,2.8
1,25,5,0.2857142857142857,2.0
1,26,5,0.5,2.3333333333333335
1,27,5,0.3333333333333333,4.666666666666667
1,28,5,0.6,2.8
1,0,6,0.25,3.0
1,1,6,0.3333333333333333,4.0
1,2,6,0.25,3.0
1,3,6,0.16666666666666666,2.0
1,4,6,0.2,2.4
1,5,6,0.5,3.0
1,6,6,0.2,2.4
1,7,6,0.2,2.4
1,8,6,0.2,2.4
1,9,6,0.2,2.4
1,10,6,0.25,3.0
1,11,6,0.6666666666666666,4.0
1,12,6,0.25,3.0
1,13,6,0.25,3.0
1,14,6,0.25,3.0
1,15,6,0.5,3.0
1,16,6,0.25,3.0
1,17,6,0.16666666666666666,2.0
1,18,6,0.16666666666666666,2.0
1,19,6,0.5,6.0
1,20,6,0.25,3.0
1,21,6,0.2,2.4
1,22,6,0.2857142857142857,1.7142857142857142
1,23,6,0.3333333333333333,2.0
