template,entry_id,mechanism_id
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4])-[C&D2&v4&H2&0*&!R&z1:5]-[O&D2&v2&H0&0*&!R:6]>>[C&D1&v4&H3&0*&!R&z0:5]-[C&D3&v4&H0&0*&!R&z1:2](=[O&D1&v2&H0&0*&!R:1])-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4].[O&D1&v2&H1&0*&!R:6],[85],[1]
[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])~[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7].[N&D1&v3&H1&0*&!R:8]~[*:9]~[N&D1&v3&H2&0*&!R:10]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])~[O&D1&v2&H1&0*&!R:6].[N&D1&v3&H1&0*&!R:8]~[*:9]~[N&D2&v3&H1&0*&!R:10]-[P&D4&v5&H0&0*&!R:7],[86],[1]
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H0&0*&!R&z3:2](-[N&D1&v3&H2&0*&!R:3])=[O&D1&v2&H0&0*&!R:4].[O&D0&v2&H2&0*&!R:5]>>[N&D0&v3&H3&0*&!R:1].[N&D0&v3&H3&0*&!R:3].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:4],"[87, 87, 87]","[2, 4, 3]"
[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:4].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],[88],[1]
[C&D3&v4&H1&0*&R&z1:1](-[C&D2&v4&H2&0*&!R&z1:2]-[S&D2&v2&H0&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5].[O&D0&v2&H2&0*&!R:6]>>[C&D3&v4&H1&0*&R&z1:1](-[C&D2&v4&H2&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:6])-[C&D3&v4&H1&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5].[S&D1&v2&H1&0*&!R:3],[90],[1]
[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[O&D0&v2&H2&0*&!R:3].[c&D3&v4&H0&0*&R&z0:4]1:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z1:7]:[n&D3&v4&H0&+&R:8]:[c&D2&v4&H1&0*&R&z1:9]:1.[c&D3&v4&H0&0*&R&z0:10]1:[c&D2&v4&H1&0*&R&z0:11]:[c&D2&v4&H1&0*&R&z0:12]:[c&D2&v4&H1&0*&R&z1:13]:[n&D3&v4&H0&+&R:14]:[c&D2&v4&H1&0*&R&z1:15]:1>>[C&D3&v4&H0&0*&R&z0:10]1=[C&D2&v4&H1&0*&R&z1:15]-[N&D3&v3&H0&0*&R:14]-[C&D2&v4&H1&0*&R&z1:13]=[C&D2&v4&H1&0*&R&z0:12]-[C&D2&v4&H2&0*&R&z0:11]-1.[C&D3&v4&H0&0*&R&z0:4]1=[C&D2&v4&H1&0*&R&z1:9]-[N&D3&v3&H0&0*&R:8]-[C&D2&v4&H1&0*&R&z1:7]=[C&D2&v4&H1&0*&R&z0:6]-[C&D2&v4&H2&0*&R&z0:5]-1.[O&D1&v2&H0&0*&!R:3]=[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:2],"[92, 92]","[2, 1]"
[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:3].[C&D3&v4&H0&0*&R&z0:4]1=[C&D2&v4&H1&0*&R&z1:5]-[N&D3&v3&H0&0*&R:6]-[C&D2&v4&H1&0*&R&z1:7]=[C&D2&v4&H1&0*&R&z0:8]-[C&D2&v4&H2&0*&R&z0:9]-1.[C&D3&v4&H0&0*&R&z0:10]1=[C&D2&v4&H1&0*&R&z1:11]-[N&D3&v3&H0&0*&R:12]-[C&D2&v4&H1&0*&R&z1:13]=[C&D2&v4&H1&0*&R&z0:14]-[C&D2&v4&H2&0*&R&z0:15]-1>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[S&D1&v2&H1&0*&!R:3].[c&D3&v4&H0&0*&R&z0:10]1:[c&D2&v4&H1&0*&R&z0:15]:[c&D2&v4&H1&0*&R&z0:14]:[c&D2&v4&H1&0*&R&z1:13]:[n&D3&v4&H0&+&R:12]:[c&D2&v4&H1&0*&R&z1:11]:1.[c&D3&v4&H0&0*&R&z0:4]1:[c&D2&v4&H1&0*&R&z0:9]:[c&D2&v4&H1&0*&R&z0:8]:[c&D2&v4&H1&0*&R&z1:7]:[n&D3&v4&H0&+&R:6]:[c&D2&v4&H1&0*&R&z1:5]:1,"[93, 93, 93]","[3, 2, 1]"
[C&D3&v4&H1&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4].[O&D0&v2&H2&0*&!R:5]>>[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:5],[94],[1]
[O&D2&v2&H0&0*&R:1]-[C&D3&v4&H1&0*&R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>([C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H1&0*&!R:1]),[95],[1]
[N&D3&v3&H0&0*&!R:1]-[C&D3&v4&H0&0*&!R&z3:2](=[N&D1&v3&H1&0*&!R:3])-[N&D1&v3&H2&0*&!R:4].[O&D0&v2&H2&0*&!R:5]>>[N&D1&v3&H2&0*&!R:3]-[C&D3&v4&H0&0*&!R&z3:2](-[N&D1&v3&H2&0*&!R:4])=[O&D1&v2&H0&0*&!R:5].[N&D2&v3&H1&0*&!R:1],[96],[1]
[N&D2&v3&H1&0*&!R:1]-[C&D2&v4&H1&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[N&D1&v3&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H1&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:4],[98],[1]
[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3].[c&D3&v4&H0&0*&R&z0:4]1:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z1:7]:[n&D3&v4&H0&+&R:8]:[c&D2&v4&H1&0*&R&z1:9]:1>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:3].[C&D3&v4&H0&0*&R&z0:4]1=[C&D2&v4&H1&0*&R&z1:9]-[N&D3&v3&H0&0*&R:8]-[C&D2&v4&H1&0*&R&z1:7]=[C&D2&v4&H1&0*&R&z0:6]-[C&D2&v4&H2&0*&R&z0:5]-1,[100],[1]
[O&D0&v2&H2&0*&!R:1].[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])-[O&D2&v2&H0&0*&!R:4]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[*:7]~[*:8]~[O&D1&v2&H0&0*&!R:9]>>[*:8](~[O&D1&v2&H0&0*&!R:9])~[*:7]~[*:5](~[O&D1&v2&H0&0*&!R:6])~[O&D1&v2&H1&0*&!R:4].[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:1],[101],[1]
[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4].[S&D2&v2&H0&0*&R:5]-[S&D2&v2&H0&0*&R:6]>>[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3].([S&D1&v2&H1&0*&!R:6].[S&D2&v2&H0&0*&!R:5]-[C&D3&v4&H0&0*&!R&z2:1]=[O&D1&v2&H0&0*&!R:2]),"[106, 280]","[1, 1]"
[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[N&D2&v3&H0&0*&R:7]=[C&D3&v4&H0&0*&R&z1:8]>>[N&D2&v3&H1&0*&R:7]-[C&D3&v4&H1&0*&R&z1:8].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,"[112, 752]","[1, 1]"
[N&D3&v3&H0&0*&R:1](~[*:2]~[*:3]~[*:4]~[*:5]~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[O&D1&v2&H1&0*&!R:15])-[C&D2&v4&H1&0*&R&z1:16]=[C&D2&v4&H1&0*&R&z0:17]-[C&D2&v4&H2&0*&R&z0:18].[c&D3&v4&H0&0*&R&z0:19](:[c&D2&v4&H1&0*&R&z0:20]):[c&D2&v4&H1&0*&R&z1:21]:[n&D3&v4&H0&+&R:22]~[*:23]~[*:24]~[*:25]~[*:26]~[*:27]~[*:28]~[*:29]~[*:30]~[*:31]~[*:32]~[*:33]~[*:34]~[*:35]~[O&D2&v2&H0&0*&!R:36]-[P&D4&v5&H0&0*&!R:37]>>[N&D3&v3&H0&0*&R:1](~[*:2]~[*:3]~[*:4]~[*:5]~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[O&D2&v2&H0&0*&!R:15]-[P&D4&v5&H0&0*&!R:37])-[C&D2&v4&H1&0*&R&z1:16]=[C&D2&v4&H1&0*&R&z0:17]-[C&D2&v4&H2&0*&R&z0:18].[c&D3&v4&H0&0*&R&z0:19](:[c&D2&v4&H1&0*&R&z0:20]):[c&D2&v4&H1&0*&R&z1:21]:[n&D3&v4&H0&+&R:22]~[*:23]~[*:24]~[*:25]~[*:26]~[*:27]~[*:28]~[*:29]~[*:30]~[*:31]~[*:32]~[*:33]~[*:34]~[*:35]~[O&D1&v2&H1&0*&!R:36],[116],[1]
[C&D2&v4&H2&0*&!R&z1:1]-[S&D4&v6&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H0&0*&!R&z1:5](=[O&D1&v2&H0&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8].[O&D1&v2&H0&0*&!R:9]=[O&D1&v2&H0&0*&!R:10]>>[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:10].[O&D1&v2&H0&0*&!R:8]=[C&D2&v4&H0&0*&!R&z2:7].[O&D1&v2&H0&0*&!R:6]=[C&D3&v4&H0&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:9].[S&D3&v4&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:4],[129],[1]
[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[O&D1&v2&H0&0*&!R:7]=[O&D1&v2&H0&0*&!R:8].[c&D2&v4&H1&0*&R&z0:9]1:[c&D2&v4&H1&0*&R&z0:10]:[c&D2&v4&H1&0*&R&z0:11]:[c&D3&v4&H0&0*&R&z0:12](:[c&D2&v4&H1&0*&R&z0:13]:[c&D2&v4&H1&0*&R&z0:14]):[c&D3&v4&H0&0*&R&z0:15]:[c&D2&v4&H1&0*&R&z0:16]:1>>[O&D1&v2&H1&0*&!R:8]-[C&D3&v4&H1&0*&R&z1:9]1-[C&D2&v4&H1&0*&R&z0:10]=[C&D2&v4&H1&0*&R&z0:11]-[c&D3&v4&H0&0*&R&z0:12](:[c&D2&v4&H1&0*&R&z0:13]:[c&D2&v4&H1&0*&R&z0:14]):[c&D3&v4&H0&0*&R&z0:15]-[C&D3&v4&H1&0*&R&z1:16]-1-[O&D1&v2&H1&0*&!R:7].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,[130],[2]
[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[O&D1&v2&H0&0*&!R:7]=[O&D1&v2&H0&0*&!R:8].[c&D2&v4&H1&0*&R&z0:9]:[c&D3&v4&H0&0*&R&z1:10](-[O&D1&v2&H1&0*&!R:11]):[c&D2&v4&H1&0*&R&z0:12]>>[O&D0&v2&H2&0*&!R:8].[c&D2&v4&H1&0*&R&z0:12]:[c&D3&v4&H0&0*&R&z1:10](-[O&D1&v2&H1&0*&!R:11]):[c&D3&v4&H0&0*&R&z1:9]-[O&D1&v2&H1&0*&!R:7].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,[131],[1]
[C&D1&v4&H3&0*&!R&z0:1]-[C&D4&v4&H0&0*&R&z1:2](-[C&D1&v4&H3&0*&!R&z0:3])(-[S&D2&v2&H0&0*&R:4])-[C&D3&v4&H1&0*&R&z1:5].[C&D3&v4&H0&0*&!R&z1:6](=[O&D1&v2&H0&0*&!R:7])-[C&D3&v4&H0&0*&!R&z2:8]-[O&D1&v2&H1&0*&!R:9].[O&D1&v2&H0&0*&!R:10]=[O&D1&v2&H0&0*&!R:11]>>[C&D1&v4&H3&0*&!R&z0:3]-[C&D3&v4&H0&0*&R&z0:2](=[C&D3&v4&H0&0*&R&z1:5])-[C&D2&v4&H2&0*&R&z1:1]-[S&D2&v2&H0&0*&R:4].[O&D0&v2&H2&0*&!R:11].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:8].[O&D1&v2&H0&0*&!R:7]=[C&D3&v4&H0&0*&!R&z2:6]-[O&D1&v2&H1&0*&!R:10],[137],[1]
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4].([N&D2&v3&H1&0*&!R:5].[N&D2&v3&H1&0*&R:6]~[*:7]~[*:8]~[N&D2&v3&H1&0*&R:9])>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2].[N&D3&v3&H0&0*&R:6](-[C&D2&v4&H2&0*&R&z2:3]-[N&D3&v3&H0&0*&R:5])~[*:7]~[*:8]~[N&D2&v3&H1&0*&R:9].[O&D0&v2&H2&0*&!R:4],[147],[1]
[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z1:2].[O&D1&v2&H0&0*&!R:3]=[C&D3&v4&H0&0*&!R&z1:4]-[C&D3&v4&H1&0*&!R&z1:5]-[C&D3&v4&H1&0*&!R&z1:6]-[O&D1&v2&H1&0*&!R:7]>>[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H1&0*&!R&z1:6].[O&D1&v2&H0&0*&!R:3]=[C&D3&v4&H0&0*&!R&z1:4]-[C&D3&v4&H1&0*&!R&z1:5]-[C&D3&v4&H1&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:1],"[148, 148]","[2, 1]"
[C&D3&v4&H0&0*&!R&z2:1](-[N&D1&v3&H2&0*&!R:2])=[O&D1&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[N&D0&v3&H3&0*&!R:2].[N&D2&v3&H1&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:1]=[O&D1&v2&H0&0*&!R:3],"[149, 761]","[1, 1]"
[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4](~[O&D1&v2&H1&0*&!R:5])~[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7]-[O&D1&v2&H1&0*&!R:8].[O&D1&v2&H1&0*&!R:9]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4](~[O&D1&v2&H1&0*&!R:6])~[O&D1&v2&H1&0*&!R:5].[O&D2&v2&H0&0*&!R:9]-[P&D4&v5&H0&0*&!R:7]-[O&D1&v2&H1&0*&!R:8],[150],[1]
[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11].[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:4],[151],[1]
[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6]=[O&D1&v2&H0&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:3]=[O&D1&v2&H0&0*&!R:4].[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])-[O&D1&v2&H1&0*&!R:2],[152],[3]
[P&D4&v5&H0&0*&!R:1]-[O&D2&v2&H0&0*&!R:2]-[S&D4&v6&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:4].[c&D3&v4&H0&0*&R&z1:5]-[O&D1&v2&H1&0*&!R:6]>>[P&D4&v5&H0&0*&!R:1]-[O&D1&v2&H1&0*&!R:6].[c&D3&v4&H0&0*&R&z1:5]-[O&D2&v2&H0&0*&!R:2]-[S&D4&v6&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:4],[154],[1]
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:3].[S&D2&v2&H0&0*&!R:4]-[C&D2&v4&H1&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6]>>[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H1&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:3].[S&D2&v2&H0&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],"[155, 155]","[2, 1]"
[C&D1&v4&H3&0*&!R&z1:1]-[S&D2&v2&H0&0*&!R:2].[S&D1&v2&H1&0*&!R:3]>>[C&D0&v4&H4&0*&!R&z0:1].[S&D2&v2&H0&0*&!R:3]-[S&D2&v2&H0&0*&!R:2],[156],[2]
[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:4].[S&D1&v2&H1&0*&!R:3],"[157, 345]","[1, 1]"
[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[S&D4&v6&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:4].[S&D4&v6&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],[158],[1]
[O&D0&v2&H2&0*&!R:1].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:3]-[c&D3&v4&H0&0*&R&z1:4]>>[O&D1&v2&H1&0*&!R:1]-[c&D3&v4&H0&0*&R&z1:4].[P&D4&v5&H0&0*&!R:2]-[O&D1&v2&H1&0*&!R:3],[159],[1]
[C&D2&v4&H1&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2]-[C&D2&v4&H1&0*&!R&z0:3]=[C&D2&v4&H1&0*&!R&z0:4]-[C&D2&v4&H1&0*&!R&z0:5]=[C&D2&v4&H1&0*&!R&z0:6]-[C&D3&v4&H1&0*&R&z1:7]-[O&D2&v2&H0&0*&R:8].[O&D0&v2&H2&0*&!R:9]>>([C&D3&v4&H1&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:9])-[C&D2&v4&H1&0*&!R&z0:2]=[C&D2&v4&H1&0*&!R&z0:3]-[C&D2&v4&H1&0*&!R&z0:4]=[C&D2&v4&H1&0*&!R&z0:5]-[C&D2&v4&H1&0*&!R&z0:6]=[C&D2&v4&H1&0*&!R&z0:7].[O&D1&v2&H1&0*&!R:8]),"[166, 166]","[1, 2]"
[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:3],"[168, 171, 171, 173, 174, 175, 176, 177, 238, 396, 591, 595, 608, 609, 624, 626, 635, 641, 657, 676, 679, 688, 706, 718, 723, 724, 731, 746, 747, 789, 805, 806, 814, 815, 816, 818, 820, 821, 821, 821, 830, 964]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1]"
[C&D3&v4&H0&0*&!R&z2:1]-[N&D2&v3&H1&0*&!R:2].[O&D0&v2&H2&0*&!R:3]>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:3].[N&D1&v3&H2&0*&!R:2],[170],[1]
[N&D2&v3&H1&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[N&D1&v3&H2&0*&!R:1],"[172, 266, 798, 998]","[1, 1, 1, 1]"
[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9].[O&D0&v2&H2&0*&!R:10]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:10].[O&D1&v2&H0&0*&!R:7]=[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:5])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9],[178],[2]
[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D2&v2&H0&0*&!R:5]-[P&D4&v5&H0&0*&!R:6](=[O&D1&v2&H0&0*&!R:7])-[O&D1&v2&H1&0*&!R:8].[O&D0&v2&H2&0*&!R:9]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:9].[O&D1&v2&H0&0*&!R:7]=[P&D4&v5&H0&0*&!R:6](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:8],[179],[1]
[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H2&0*&!R&z0:3].[O&D0&v2&H2&0*&!R:4]>>[C&D1&v4&H3&0*&!R&z0:3].[O&D1&v2&H0&0*&!R:2]=[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:4],[180],[1]
[O&D0&v2&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H1&0*&!R&z1:3]-[C&D2&v4&H2&0*&!R&z1:4]-[P&D4&v5&H0&0*&!R:5]=[O&D1&v2&H0&0*&!R:6]>>[C&D1&v4&H3&0*&!R&z0:4]-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:6]=[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:1],[181],[1]
[C&D4&v4&H0&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H1&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5]>>[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z2:4]-[C&D2&v4&H2&0*&!R&z0:3],"[182, 182, 182, 182]","[1, 2, 3, 4]"
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D1&v4&H3&0*&!R&z0:3]-[C&D3&v4&H0&0*&!R&z1:2]=[O&D1&v2&H0&0*&!R:4].[N&D0&v3&H3&0*&!R:1],"[186, 956, 956]","[1, 1, 2]"
