template,rxn_id
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D4&v4&H0&0*&!R&z1:4](-[C&D2&v4&H2&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6])~[*:7]~[O&D1&v2&H0&0*&!R:8]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:8]~[*:7]~[C&D3&v4&H1&0*&!R&z1:4]-[C&D2&v4&H2&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6],['16625']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[c&D3&v4&H0&0*&R&z1:4]:[*:5]:[c&D2&v4&H1&0*&R&z0:6]>>[*:5](:[c&D2&v4&H1&0*&R&z0:6]):[c&D2&v4&H1&0*&R&z1:4].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1],['16821']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D4&v4&H0&0*&!R&z1:4](-[C&D2&v4&H2&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6])~[*:7](~[O&D1&v2&H0&0*&!R:8])~[*:9]~[O&D1&v2&H1&0*&!R:10]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:8]~[*:7](~[*:9]~[O&D1&v2&H1&0*&!R:10])~[C&D3&v4&H1&0*&!R&z1:4]-[C&D2&v4&H2&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6],['16925']
[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H0&0*&!R&z1:4](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z1:6]~[*:7](~[O&D1&v2&H0&0*&!R:8])~[O&D1&v2&H1&0*&!R:9]>>[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:1].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H1&0*&!R&z1:4]-[C&D2&v4&H2&0*&!R&z1:6]~[*:7](~[O&D1&v2&H0&0*&!R:8])~[O&D1&v2&H1&0*&!R:9],"['16979', '9307']"
[*:1](~[O&D1&v2&H0&0*&!R:2])~[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4]-[C&D3&v4&H1&0*&!R&z1:5](-[N&D1&v3&H2&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7](=[O&D1&v2&H0&0*&!R:8])-[O&D1&v2&H1&0*&!R:9]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4]-[C&D2&v4&H2&0*&!R&z1:5]-[N&D1&v3&H2&0*&!R:6].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:7]=[O&D1&v2&H0&0*&!R:8],['17153']
[*:1](~[C&D2&v4&H2&0*&!R&z0:2]-[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5])~[*:6](~[O&D1&v2&H0&0*&!R:7])~[O&D1&v2&H1&0*&!R:8]>>[C&D1&v4&H3&0*&!R&z0:2]~[*:1]~[*:6](~[O&D1&v2&H0&0*&!R:7])~[O&D1&v2&H1&0*&!R:8].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4],['17157']
[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D3&v4&H1&0*&!R&z1:3](-[N&D1&v3&H2&0*&!R:4])-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H2&0*&!R&z0:2]-[C&D2&v4&H2&0*&!R&z1:3]-[N&D1&v3&H2&0*&!R:4].[O&D1&v2&H0&0*&!R:7]=[C&D2&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6],"['17802', '734']"
[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2](-[N&D1&v3&H2&0*&!R:3])-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H2&0*&!R&z1:2]-[N&D1&v3&H2&0*&!R:3].[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5],"['1814', '7099']"
[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H2&0*&!R&z1:3])-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3].[O&D1&v2&H0&0*&!R:6]=[C&D2&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5],['18393']
[*:1](:[c&D2&v4&H1&0*&R&z0:2]:[c&D2&v4&H1&0*&R&z0:3]):[c&D3&v4&H0&0*&R&z0:4](:[*:5]~[O&D1&v2&H1&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7](=[O&D1&v2&H0&0*&!R:8])-[O&D1&v2&H1&0*&!R:9]>>[*:1](:[c&D2&v4&H1&0*&R&z0:2]:[c&D2&v4&H1&0*&R&z0:3]):[c&D2&v4&H1&0*&R&z0:4]:[*:5]~[O&D1&v2&H1&0*&!R:6].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:7]=[O&D1&v2&H0&0*&!R:8],['18573']
